帳號,帳號_出現次數,時間_是否凌晨,內容_文字長度,內容_是否含詐騙詞,是否主文,來源_PTT-Gossiping-回文,來源_PTT-Insurance-回文,來源_PTT-Lifeismoney-回文,來源_PTT-Stock-回文,來源_PTT-WomenTalk-回文,內容_tfidf_00,內容_tfidf_01,內容_tfidf_02,內容_tfidf_03,內容_tfidf_04,內容_tfidf_05,內容_tfidf_06,內容_tfidf_07,內容_tfidf_08,內容_tfidf_09,內容_tfidf_10,內容_tfidf_101,內容_tfidf_106,內容_tfidf_11,內容_tfidf_111,內容_tfidf_114,內容_tfidf_116,內容_tfidf_118,內容_tfidf_12,內容_tfidf_125,內容_tfidf_13,內容_tfidf_136,內容_tfidf_137,內容_tfidf_138,內容_tfidf_139,內容_tfidf_14,內容_tfidf_140,內容_tfidf_15,內容_tfidf_16,內容_tfidf_17,內容_tfidf_18,內容_tfidf_180,內容_tfidf_19,內容_tfidf_20,內容_tfidf_200,內容_tfidf_21,內容_tfidf_215,內容_tfidf_216,內容_tfidf_217,內容_tfidf_218,內容_tfidf_22,內容_tfidf_220,內容_tfidf_223,內容_tfidf_227,內容_tfidf_228,內容_tfidf_23,內容_tfidf_231,內容_tfidf_24,內容_tfidf_240,內容_tfidf_242,內容_tfidf_25,內容_tfidf_26,內容_tfidf_27,內容_tfidf_28,內容_tfidf_29,內容_tfidf_30,內容_tfidf_31,內容_tfidf_32,內容_tfidf_33,內容_tfidf_34,內容_tfidf_35,內容_tfidf_36,內容_tfidf_37,內容_tfidf_38,內容_tfidf_39,內容_tfidf_40,內容_tfidf_41,內容_tfidf_42,內容_tfidf_43,內容_tfidf_44,內容_tfidf_45,內容_tfidf_46,內容_tfidf_47,內容_tfidf_48,內容_tfidf_49,內容_tfidf_50,內容_tfidf_51,內容_tfidf_52,內容_tfidf_53,內容_tfidf_54,內容_tfidf_55,內容_tfidf_56,內容_tfidf_57,內容_tfidf_58,內容_tfidf_59,內容_tfidf_61,內容_tfidf_64,內容_tfidf_71,內容_tfidf_72,內容_tfidf_73,內容_tfidf_77,內容_tfidf_78,內容_tfidf_79,內容_tfidf_com,內容_tfidf_https,內容_tfidf_imgur,內容_tfidf_wrote,內容_tfidf_恕刪,內容_tfidf_笑死,內容_tfidf_謝謝分享,異常_IF分數,異常_OCSVM分數
shangyen,1,0,145,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.24030212179983887,0.0,0.27725433268131366,0.0,0.0,0.0,0.5053802903785708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4512166082571975,0.4420521270327423,0.45931381079116856,0.0,0.0,0.0,0.0,1,-1
推 mgtylu,1,0,115,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.4456369202115649,0.0,0.5141642778931805,0.0,0.0,0.0,0.46861033613246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5634245145117102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
mgtylu,1,0,81,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.4456369202115649,0.0,0.5141642778931805,0.0,0.0,0.0,0.46861033613246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5634245145117102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
rainylife,1,0,93,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.4456369202115649,0.0,0.5141642778931805,0.0,0.0,0.0,0.46861033613246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5634245145117102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 seduction,1,0,91,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.25592582095982663,0.0,0.29528055006204973,0.0,0.0,0.0,0.26911927523425233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795589546294377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150769942477235,0.0,0.0,0.0,0.0,0.4836938662307389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44437474193800625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
噓 wsmallmau,1,0,105,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.3145510192449553,0.0,0.3629207777350788,0.0,0.0,0.0,0.33076671203366287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3708985291539631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42998203685166336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5809382726649078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 MichaelRedd,1,0,115,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.3150922972608059,0.0,0.36354529021942844,0.0,0.0,0.0,0.3313358939426223,0.0,0.0,0.0,0.0,0.4841423969064573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3771934947917076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311303028032868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 cccwahaha,1,0,119,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.3871156023925854,0.0,0.4466439047978185,0.0,0.0,0.0,0.40707213503133405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41762764980902445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572523267669728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
ispy03532003,1,0,101,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.3818343304039112,0.0,0.44055051065730383,0.0,0.0,0.0,0.40151860360345176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47588041275860476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219563539201529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
s10910chris,1,0,113,0,0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.2793074717316862,0.0,0.3222576900605855,0.0,0.0,0.0,0.29370629379261415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47081018268523667,0.0,0.0,0.34810111179273806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485736312449935,0.0,0.0,0.3912768240445228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
